,type,isfood_encoded
0,Lunch when at NON client site,1
1,Parking,0
2,Parking,0
3,Other Expenses Taxi,0
4,Onsite offsite support FB,0
5, Meal allowance country,1
6,Late Sitting Food,1
7, Transports Subscription ,0
8,Hotel abroad,0
9,Hotel domestic breakf etc,0
10,Taxi,0
11,Rail,0
12, miles travelled,0
13,others ,0
14,Telephone Mobile,0
15,Hotel domestic accomad ,0
16, miles travelled,0
17,Airfare abroad,0
18,Underground,0
19, Transports occasional ,0
20, Transports Subscription ,0
21, miles travelled,0
23,Hotel domestic accomad ,0
24,Parking Tolls Cong Charge,0
25, miles travelled,0
26, Lnch Dnnr Paris cumulated ,1
27, Pers Internet Home work,0
28,Petrol Domestic not TaxD,0
29,FOREIGN OTHER EXPENSE,0
30,Parking,0
31,Late Sitting Food,1
32,Rail,0
33,Laundry,0
34,Train ,0
35, Taxi,0
36,Taxi,0
37, Pers Internet Home work,0
38,Hotel domestic breakf etc,0
39, Lunch,1
40,Rail,0
41,Hotel,0
42, Dinner Drink VAT ,1
43,Lunch when at NON client site,1
44, Hotel Paris Sophia,0
45, Meal allowance country,1
47,Lunch when at NON client site,1
48, Lunch Drink VAT ,1
49,Lunch,1
50,Other Tolls,0
51,Telephone Internet,0
52,non mon benefit breakfast,0
53,Parking Tolls Cong Charge,0
54, Lunch,1
55,Parking,0
56,Lunch Abroad,1
57,Rail,0
58,Hotel Accommodation,0
59,Hotel Accommodation,0
60,Rail,0
61,Parking,0
62,Rail,0
63, Dinner country,1
64,others ,0
65,Lunch when at NON client site,1
66,others ,0
67,Meals Business Or Travel,1
68,Motorway Car park,0
69, Hotel Paris Sophia,0
70,Others,0
71, Parking,0
72,Train,0
73,Breakfast after overnight stay,1
74,Other Incidentals,0
75, Meal allowance country,1
76,post stamps,0
77,Taxi,0
78, Transports occasional ,0
79,Lunch when at NON client site,1
80,Parking tax relevant,0
81,Subscription Publications,0
82,Meal allowance OT FB,1
83, Toll,0
84,Taxis,0
85,Business meal,1
86,Benefits ,0
87,Client Entertainment,0
88,Taxi,0
89, Meal abroad,1
91, Toll,0
92,Rail,0
93,Parking Tolls Cong Charge,0
94,Rail,0
95,Parking Tolls Cong Charge,0
96, Train,0
97,Plane,0
98,Client Entertainment,0
99,Parking Tolls Cong Charge,0
100,Rail,0
101, Lunch,1
102,Meals for day trip,1
103,Breakfast left home pre am,1
104,Hotel domestic breakf etc,0
105,Taxis,0
106, Lunch,1
107, miles travelled,0
108,Taxis,0
109, Transports Subscription ,0
110,Rail,0
111,Lunch when at NON client site,1
112, miles travelled,0
113,Per diem Dinner,1
114, Transports occasional ,0
115,Parking toll ferry client car,0
116,Taxi,0
117, Lunch,1
118, Gas,0
119,Taxi,0
120,Late Sitting Food,1
121, Lunch Drink VAT ,1
122,Hotel domestic breakf etc,0
123,Stationary Postage Printing,0
124, Taxi,0
125,Local public transport,0
127,Conveyance Expenses,0
128, Meal allowance country,1
129, miles travelled,0
130,Lunch when at NON client site,1
131,Telephone Mobile,0
132, miles travelled,0
133,Meal Allowance Weekday ,1
136,Hotel,0
137,Train km ,0
138,Underground,0
139,Lodging excl breakfast,0
140,Train km ,0
141,Per diem Lunch,1
142,Parking,0
143,Parking Tolls Cong Charge,0
144, Transports occasional ,0
145,QIL emp Q cantiere,0
146, Meal allowance country,1
147,Breakfast after overnight stay,1
148, Transports Subscription ,0
149,Meals Business Or Travel,1
150,Eve Meal re overnight stay,1
151,Meals for day trip,1
152,Underground,0
153, Mileage allowances BULL,0
154,Gasoline,0
155,Parking,0
156,Lunch when at NON client site,1
157,Hotel,0
158, miles travelled,0
159,Taxi Local ,0
160, Hotel Paris Sophia,0
161, Taxi,0
162,Parking Tolls Cong Charge,0
163,Motorway Car park,0
164,Rail,0
165,Breakfast,1
166, Lunch,1
167,Rail,0
168, Meal allowance Paris,1
169,Meals for day trip,1
170,Meals for day trip,1
171, Lunch,1
172,Highway,0
173,National Meal,1
174,Eve Meal re overnight stay,1
175, Lunch,1
176,Late Sitting Conveyance,0
177,Breakfast left home pre am,1
178,Meals Employee Function,1
179,Other Travelling Exp Local ,0
180,Eve Meal re overnight stay,1
181,Hotel,0
182,Parking Tolls Cong Charge,0
183, miles travelled,0
184, Dinner Paris,1
185,Lunch when at NON client site,1
186,Taxi,0
187, Taxi,0
188,Taxis,0
189, miles travelled,0
190,Taxi,0
191, Parking,0
192,Parking toll ferry client car,0
193, Dinner country,1
194,Meals for day trip,1
195, Pers Internet Home work,0
196,Per diem Lunch,1
197,Taxi,0
198,FOREIGN OTHER EXPENSE,0
199,Eve Meal re overnight stay,1
200, Taxi,0
201,Eve Meal re overnight stay,1
202,Train km ,0
203,Hotel Accommodation,0
204,Client Entertainment,0
205, Lnch Dnnr Cntry cumulated ,1
206,Taxi,0
207,Late Sitting Food,1
208, Breakfast,1
209,Lodging incl breakfast,0
210, Reception,1
211,Overseas Per Diem,0
212,Hotel domestic accomad ,0
213,Local public transport,0
214,Benefits ,0
215,Meals for day trip,1
216,Train,0
217,Meals Business Or Travel,1
218,Meals for day trip,1
219,Dinner invitation,0
220,Lunch when at NON client site,1
221,Taxis,0
222,Lunch when at NON client site,1
223,Eve Meal late home after pm,1
224, Meal allowance country,1
225,Hotel,0
226, Hotel Paris Sophia,0
227,Parking,0
228,Standby allowance Accor FB,0
229, Lunch,1
230, Hotel Paris Sophia,0
231, Hotel except Paris Sophia,0
232,Per diem Dinner,1
233,Sundry,0
234,Taxis,0
235, Mileage allowances BULL,0
236, Mileage allowances BULL,0
237,Hotel,0
238, Toll,0
239, miles travelled,0
240, miles travelled,0
241,Hotel domestic breakf etc,0
242,Parking Tolls Cong Charge,0
243,Meals Business Or Travel,1
244,Parking Tolls Cong Charge,0
245, Pers Internet Home work,0
246,General Charges,0
247,Rail,0
248, Meal allowance country,1
249,Metropolitan public transport,0
250, Mileage allowances BULL,0
251,Lunch when at NON client site,1
252,Taxis,0
253,Meals for day trip,1
254,Taxi ,0
255,Parking Tolls Cong Charge,0
256,Meals for day trip,1
257,Personal Incidental Exp UK,0
258,Taxi,0
259,Taxis,0
260,Eve Meal re overnight stay,1
261,Eve Meal re overnight stay,1
